hotel_id,nearby_attraction_name,rating,reviews,distance
72572,Pioneer Square,3.5,535,.07
72572,Occidental Park,3.5,49,.13
72572,Milepost 31,4.5,19,.08
72572,Pioneer Square Antique Mall,3,5,.06
73821,Tempe Diablo Stadium,4,186,1.72
73821,Tempe Center for the Arts,4.5,44,1.85
73821,Halle Heart Children's Museum,4.5,14,1.92
73821,Pueblo Grande Museum,4,200,1.47
73855,Wells Fargo History Museum,4.5,215,.24
73855,Talking Sticks Resort Arena,4,339,.27
73855,St. Mary's Basilica,4.5,210,.15
73855,Orpheum Theater,4.5,199,.27
73943,Joya Spa at Omni Scottsdale Resort,4.5,197,1.62
73943,The Sanctuary Spa,4.5,61,1.36
73943,Camelback Mountain,4.5,1950,1.23
73943,Franciscan Renewal Center,5,40,2.02
73950,Tempe Diablo Stadium,4,186,1.66
73950,Tempe Center for the Arts,4.5,44,1.83
73950,Halle Heart Children's Museum,4.5,14,1.87
73950,Pueblo Grande Museum,4,200,1.53
73957,Piestewa Peak,4.5,564,1.36
73957,Wrigley Mansion,4.5,344,2.13
73957,Phoenix Mountain Preserve,4.5,187,1.26
73957,Dreamy Draw Recreation Area,4.5,73,1.02
74583,Tempe Diablo Stadium,4,186,1.59
74583,Tempe Center for the Arts,4.5,44,1.96
74583,Halle Heart Children's Museum,4.5,14,1.77
74583,Pueblo Grande Museum,4,200,1.62
74626,SEA LIFE Arizona,4,483,3.09
74626,Mercado Mexico,4,6,3.26
74626,Tempe Diablo Stadium,4,186,2.84
74626,Halle Heart Children's Museum,4.5,14,2.40
76083,Beverly Center,4,281,.09
76083,Robertson Boulevard,4,107,.36
76083,Kitson,4,18,.39
76083,3rd Street Station,4.5,6,.24
77270,Madame Tussauds Hollywood,4.5,2768,.12
77270,Hollywood,4,1319,.11
77270,Hollywood Walk of Fame,3.5,12829,.10
77270,Hollywood Boulevard,3.5,1685,.11
77629,McMullen Museum,4.5,20,.99
77629,Metropolitan Waterworks Museum,4.5,38,.93
77629,Brighton Music Hall,4.5,20,.97
77629,Chestnut Hill Reservoir,4,28,.53
77638,Fenway Park,4.5,12837,.70
77638,Museum of Fine Arts,5,6873,.63
77638,Isabella Stewart Gardner Museum,4.5,2391,.39
77638,Puppet Showplace Theater,4.5,20,.65
77714,Little Tokyo,4,685,.19
77714,City Hall,4.5,216,.21
77714,East West Players,5,5,.14
77714,Fugetsu-Do,5,15,.15
77775,Pierce Brothers Westwood Village Memorial Park,4.5,376,.23
77775,Hammer Museum,4,132,.35
77775,iPic Theaters,4.5,50,.24
77775,Geffen Playhouse,4.5,35,.46
77804,Walt Disney Concert Hall,4.5,2536,.22
77804,The Broad,4.5,964,.13
77804,Bradbury Building,4.5,468,.18
77804,OUE Skyspace LA,4,263,.27
77827,The Getty Center,5,11758,.43
77827,"University of California, Los Angeles (UCLA)",4.5,534,1.54
77827,Hammer Museum,4,132,1.76
77827,Geffen Playhouse,4.5,35,1.57
77866,OUE Skyspace LA,4,261,.14
77866,Los Angeles Central Library,4.5,326,.16
77866,Pershing Square,3.5,69,.03
77866,Oviatt Building,4.5,9,.13
77944,Automobile Driving Museum,4.5,111,1.74
77944,Three Weavers Brewing Company,4.5,8,1.02
77944,Flight Path Learning Center & Museum,5,37,1.63
77944,Otis College of Art and Design Gallery,4.5,5,1.87
78682,Jurassic Park The Ride,5,14,.78
78682,Transformers: The Ride - 3D,4.5,11,.78
78682,Revenge of the Mummy - The Ride,4.5,8,.80
78682,Despicable Me Minion Mayhem,3.5,13,.89
78688,River Rock,4,1,.04
78688,Pinz Bowling,-1,,.21
78688,Ricki Criswell Skin Care and Waxing Studio,-1,,.31
78688,Studio City Golf and Tennis,4,6,.37
78694,Studio Tour,4.5,13,.22
78694,The Walking Dead Attraction,3.5,22,.18
78694,Despicable Me Minion Mayhem,3.5,13,.19
78694,Escape Room Games,4.5,30,.18
79500,Malaekahana State Recreation Area,4.5,35,.34
79500,Island Princess Hawaii - Macadamia Nut Factory Outlet,5,16,.38
79500,"DFS, Hawaii Daniel K. Inouye International Airport",3,6,.67
79500,Blue Hawaiian Helicopters - Oahu,5,611,.93
80275,Bayside Marketplace,4,9545,.14
80275,Miami Beach Marina,4.5,123,.14
80275,Freedom Tower,4,310,.16
80275,Xcursions USA - Day Tours,3.5,60,.06
80747,Historic Streetcars,4.5,467,.04
80747,Nob Hill,4.5,176,.15
80747,Chinese Historical Society of America,4.5,31,.15
80747,Huntington Park,4,25,.16
80756,Scenic 49 Mile Drive,4.5,368,.03
80756,Glide Memorial United Methodist Church,4.5,114,.14
80756,SHN Curran Theatre,4,35,.17
80756,San Francisco Art Exchange,5,7,.16
80771,Powell and Market Cable Car Turnaround,4,817,.10
80771,Union Square,4,1778,.12
80771,Market Street,3.5,473,.09
80771,Union Street,4.5,117,.11
80774,Union Square,4,1778,.06
80774,Union Street,4.5,117,.05
80774,Neiman-Marcus,4,33,.09
80774,Martin Lawrence Galleries,4.5,5,.07
80786,American Conservatory Theater,4.5,47,.04
80786,SHN Curran Theatre,4,35,.06
80786,San Francisco Art Exchange,5,7,.08
80786,Martin Lawrence Galleries,4.5,5,.04
80788,Golden Gate Rides Bike Rentals & Tours,5,122,.29
80788,PanIQ Room San Francisco,4.5,76,.24
80788,City Clues Adventures,5,21,.23
80788,Great American Music Hall,4,36,.07
80793,Powell and Market Cable Car Turnaround,4,817,.12
80793,Market Street,3.5,473,.12
80793,San Francisco Visitor Information Center,4,70,.12
80793,American Conservatory Theater,4.5,47,.08
80802,Scenic 49 Mile Drive,4.5,368,.13
80802,Glide Memorial United Methodist Church,4.5,114,.07
80802,American Conservatory Theater,4.5,47,.08
80802,SHN Curran Theatre,4,35,.06
80836,The Color Factory,4,8,.06
80836,San Francisco Art Exchange,5,7,.11
80836,Marines Memorial Theater,4,7,.02
80836,San Francisco Playhouse,4.5,261,.09
80879,Cellarmaker Brewing Company,4,36,.30
80879,Vermont Street,4,13,.38
80879,Gourmet Walks - Fun Foodie Tours,5,321,.37
80879,Oasis,5,125,.21
80920,Powell and Market Cable Car Turnaround,4,817,.10
80920,Westfield San Francisco Centre,4,495,.16
80920,Market Street,3.5,473,.12
80920,Glide Memorial United Methodist Church,4.5,114,.15
80930,Lombard Street,4.5,12840,.37
80930,Ghirardelli Square,4,2865,.36
80930,Russian Hill,4,138,.30
80930,Bluxome Street Winery,4,11,.36
80937,The Color Factory,4,8,.09
80937,450 Sutter Building,4.5,8,.07
80937,Golden Gate City Hop-On Tours,4,167,.07
80937,Golden West Tours,5,187,.07
80983,Lyon Street Steps,5,41,.20
80983,Alta Plaza Park,4.5,23,.34
80983,Mrs Doubtfire House,4,22,.39
80983,Full House House,3.5,9,.40
80987,Marina District,4.5,106,.19
80987,Cow Hollow,4,20,.37
80987,Golden Gate Bridge Bike Rentals,4.5,37,.19
80987,Captain San Francisco Sailing Charters,5,33,.36
80990,Dragon's Gate,4,59,.12
80990,Crocker Galleria,3.5,23,.04
80990,Lotta's Fountain,4,20,.12
80990,Teuscher Chocolates of Switzerland,4.5,7,.11
80999,Saks Fifth Avenue,4,37,.06
80999,Teuscher Chocolates of Switzerland,4.5,7,.09
80999,450 Sutter Building,4.5,8,.05
80999,Holiday Ice Rink In Union Square,3.5,6,.09
81004,Old Cathedral of St. Mary,4.5,66,.07
81004,Dragon's Gate,4,59,.06
81004,Notre Dame Des Victoires Church,4.5,16,.07
81004,Teuscher Chocolates of Switzerland,4.5,7,.14
81019,Union Square,4,1778,.08
81019,Union Street,4.5,117,.09
81019,American Conservatory Theater,4.5,47,.07
81019,SHN Curran Theatre,4,35,.09
81022,Ferry Building Marketplace,4.5,5696,.20
81022,Ferry Plaza Farmer's Market,4.5,419,.19
81022,San Francisco Railway Museum,4,98,.14
81022,Autodesk Gallery,5,22,.19
81035,Asian Art Museum,4.5,1337,.20
81035,San Francisco City Hall,4.5,781,.29
81035,Ocean Beach,4,335,.18
81035,San Francisco Public Library,4,175,.13
81038,Transamerica Pyramid,4,252,.08
81038,Portsmouth Square,4,26,.05
81038,Sentinel Building,4,17,.10
81038,Transamerica Redwood Park,5,10,.09
81042,Pepper Palace,4.5,27,.07
81042,City Segway Tours San Francisco,5,1702,.07
81042,Vantigo Tours,5,1174,.04
81042,Basically Free Bike Rentals,5,388,.11
81049,City Clues Adventures,5,21,.08
81049,High Trails Cyclery,5,10,.28
81049,Vertigo,4.5,11,.19
81049,Cinch Saloon,4.5,14,.20
81082,San Francisco Maritime National Historical Park's Visitor Center,4.5,39,.11
81082,San Francisco Maritime Museum/Aquatic Park Bathhouse Building,4.5,79,.12
81082,Pepper Palace,4.5,27,.02
81082,Winery Collective,3.5,53,.10
81103,Ferry Building Marketplace,4.5,5696,.15
81103,Ferry Plaza Farmer's Market,4.5,419,.15
81103,San Francisco Railway Museum,4,98,.11
81103,Autodesk Gallery,5,22,.05
81110,Saks Fifth Avenue,4,37,.08
81110,Xanadu Gallery (V. C. Morris Gift Shop),4.5,23,.08
81110,Notre Dame Des Victoires Church,4.5,16,.10
81110,Teuscher Chocolates of Switzerland,4.5,7,.06
81141,San Francisco Art Institute,4.5,42,.15
81141,Pepper Palace,4.5,27,.13
81141,City Segway Tours San Francisco,5,1702,.13
81141,Vantigo Tours,5,1174,.07
81165,Powell and Market Cable Car Turnaround,4,817,.05
81165,Westfield San Francisco Centre,4,495,.12
81165,Market Street,3.5,473,.06
81165,Nordstrom,4,70,.10
81169,Powell and Market Cable Car Turnaround,4,817,.16
81169,Westfield San Francisco Centre,4,495,.10
81169,Yerba Buena Gardens,4,251,.13
81169,Market Street,3.5,473,.14
81170,Venice Beach,4,8357,.09
81170,Venice Beach Boardwalk,4,2529,.16
81170,Abbot Kinney Boulevard,4.5,242,.36
81170,Venice Skatepark,4.5,99,.16
81177,Haas - Lilienthal House,4.5,69,.18
81177,San Francisco by Gilles,5,54,.33
81177,Mountain Bike San Francisco,5,92,.26
81177,The Bugster Experience,5,26,.07
81204,Transamerica Pyramid,4,252,.13
81204,Wells Fargo History Museum,4.5,135,.16
81204,Embarcadero Center Cinema,4.5,14,.08
81204,Transamerica Redwood Park,5,10,.11
81241,Asian Art Museum,4.5,1337,.16
81241,San Francisco City Hall,4.5,781,.25
81241,Ocean Beach,4,335,.16
81241,San Francisco Symphony,4.5,229,.30
81246,Cellarmaker Brewing Company,4,36,.10
81246,Heart of the City Farmers' Market,4.5,37,.32
81246,International Art Museum of America,3.5,24,.33
81246,San Francisco Federal Building,3,6,.20
81249,Octagon House,4,12,.24
81249,Bike & View - Bicycle Rentals and Tours,4.5,135,.22
81249,Big Swingin' Cycles - California Mountain Bike Tours,5,21,.38
81249,Reboot Float Spa,5,12,.36
81251,St. Mary's Cathedral,4.5,113,.23
81251,Silver Lion Service - Private Tours,5,380,.29
81251,PanIQ Room San Francisco,4.5,76,.30
81251,City Clues Adventures,5,21,.24
81315,San Francisco Museum of Modern Art (SFMOMA),4.5,1399,.17
81315,Westfield San Francisco Centre,4,495,.14
81315,Yerba Buena Gardens,4,251,.11
81315,Market Street,3.5,473,.17
81367,Lands End,4.5,2262,.02
81367,Legion of Honor,4.5,1738,.59
81367,Sutro Baths,4.5,325,.26
81367,Cliff House,4.5,380,.27
81375,Fisherman's Wharf,4,14720,.16
81375,Madame Tussauds San Francisco,4,423,.11
81375,Ripley s Believe It or Not! San Francisco,3.5,210,.10
81375,ZK Gallery,4.5,8,.16
81377,Saks Fifth Avenue,4,37,.03
81377,The Color Factory,4,8,.07
81377,450 Sutter Building,4.5,8,.05
81377,TIX Bay Area,3.5,15,.07
81394,American Conservatory Theater,4.5,47,.07
81394,SHN Curran Theatre,4,35,.08
81394,The Color Factory,4,8,.07
81394,San Francisco Art Exchange,5,7,.06
81409,Saks Fifth Avenue,4,37,.06
81409,The Color Factory,4,8,.04
81409,TIX Bay Area,3.5,15,.06
81409,Wild SF Walking Tours,5,1378,.05
81416,Japantown,4,397,.27
81416,St. Mary's Cathedral,4.5,113,.17
81416,Japan Center,4,108,.27
81416,San Francisco Ghost Hunt Walking Tour,4,57,.09
81444,The Color Factory,4,8,.06
81444,San Francisco Art Exchange,5,7,.07
81444,Marines Memorial Theater,4,7,.04
81444,Martin Lawrence Galleries,4.5,5,.08
81461,Union Square,4,1778,.05
81461,Union Street,4.5,117,.06
81461,Martin Lawrence Galleries,4.5,5,.04
81461,TIX Bay Area,3.5,15,.04
81466,Fisherman's Wharf,4,14715,.09
81466,Madame Tussauds San Francisco,4,423,.04
81466,Ripley s Believe It or Not! San Francisco,3.5,210,.06
81466,ZK Gallery,4.5,8,.10
81480,Marina District,4.5,106,.12
81480,Cow Hollow,4,20,.22
81480,Golden Gate Bridge Bike Rentals,4.5,37,.05
81480,California Wine Merchant,4.5,14,.15
1223830,SFJazz Center,5,49,.30
1223830,Hayes Valley,4.5,51,.34
1223830,SF Armory,4,37,.31
1223830,San Francisco Pride,5,7,.09
81503,Marina District,4.5,106,.06
81503,Golden Gate Bridge Bike Rentals,4.5,37,.08
81503,Discover Walks - San Francisco Walking Tours,5,73,.30
81503,Reboot Float Spa,5,12,.28
81511,Palace of Fine Arts Theatre,4.5,3908,.31
81511,Crissy Field,4.5,1238,.55
81511,Golden Gate Promenade,4.5,474,.47
81511,Marina District,4.5,106,.52
81514,Dragon's Gate,4,59,.01
81514,Notre Dame Des Victoires Church,4.5,16,.04
81514,Teuscher Chocolates of Switzerland,4.5,7,.07
81514,49 Geary Street Art Galleries,3.5,5,.10
81520,Powell and Market Cable Car Turnaround,4,817,.07
81520,Westfield San Francisco Centre,4,495,.13
81520,Market Street,3.5,473,.06
81520,Union Street,4.5,117,.13
81531,Dragon's Gate,4,59,.14
81531,Saks Fifth Avenue,4,37,.12
81531,Notre Dame Des Victoires Church,4.5,16,.11
81531,The Color Factory,4,8,.14
81553,South San Francisco Conference Center,4,30,.25
81553,United Club - Arrivals Lounge,3.5,16,.55
81553,The Shops at Tanforan,4,34,.89
81553,K1 Speed San Francisco,4,17,.32
81669,San Francisco Museum of Modern Art (SFMOMA),4.5,1399,.04
81669,Yerba Buena Gardens,4,250,.12
81669,Contemporary Jewish Museum,4,185,.16
81669,Children's Creativity Museum,4.5,59,.16
81765,Battleship USS Iowa BB-61,4.5,1230,.35
81765,Los Angeles Maritime Museum,4.5,27,.15
81765,Warner Grand Theatre,4.5,9,.31
81765,Ports O' Call Village,2.5,84,.12
81768,Battleship USS Iowa BB-61,4.5,1230,.88
81768,Los Angeles Maritime Museum,4.5,27,.82
81768,Warner Grand Theatre,4.5,9,.38
81768,Ports O' Call Village,2.5,84,.78
81782,SFJazz Center,5,49,.20
81782,Hayes Valley,4.5,51,.27
81782,San Francisco Pride,5,7,.18
81782,San Francisco Zen Center,5,5,.24
81803,Scenic 49 Mile Drive,4.5,368,.16
81803,Golden Gate Rides Bike Rentals & Tours,5,122,.22
81803,Orange Sky Adventures,5,25,.22
81803,PanIQ Room San Francisco,4.5,76,.06
81976,Dragon's Gate,4,59,.00
81976,Notre Dame Des Victoires Church,4.5,16,.03
81976,Teuscher Chocolates of Switzerland,4.5,7,.08
81976,49 Geary Street Art Galleries,3.5,5,.09
81985,Scenic 49 Mile Drive,4.5,368,.11
81985,Glide Memorial United Methodist Church,4.5,114,.12
81985,American Conservatory Theater,4.5,47,.07
81985,SHN Curran Theatre,4,35,.05
82114,Palace of Fine Arts Theatre,4.5,3908,.37
82114,Marina District,4.5,106,.36
82114,Lyon Street Steps,5,41,.40
82114,Letterman Digital and New Media Arts Center,4.5,16,.32
82116,Palace of Fine Arts Theatre,4.5,3908,.34
82116,Marina District,4.5,106,.35
82116,Lyon Street Steps,5,41,.43
82116,Letterman Digital and New Media Arts Center,4.5,16,.32
82578,Hollywood Farmers Market,4.5,117,.36
82578,"San Diego Seaplanes, Inc",4,5,.21
82578,Melting Pot Food Tours,5,512,.38
82578,A-List Hollywood Tours,5,593,.32
84440,Suwattana Spa,-1,,.31
84440,Your Skin & I,-1,,.39
84440,Theme Quest Escape Rooms,-1,,.52
84440,The Bunker,-1,,.60
84502,Madame Tussauds Hollywood,4.5,2768,.21
84502,Hollywood Walk of Fame,3.5,12829,.22
84502,Have Fun Tours,5,168,.21
84502,Hollywood United Methodist Church,4,18,.19
84522,The Getty Center,5,11758,.45
84522,"University of California, Los Angeles (UCLA)",4.5,534,1.48
84522,Hammer Museum,4,132,1.73
84522,Geffen Playhouse,4.5,35,1.53
84561,Face Haus,-1,,.03
84561,Goal,-1,,.10
84561,Skin Sense by Marion Simms,-1,,.10
84561,Onsen Lab,-1,,.11
84993,Vizcaya Museum and Gardens,4.5,5601,.66
84993,Kennedy Park,4.5,71,.52
84993,Ermita de la Caridad del Cobre,4.5,15,.48
84993,Marjorie Stoneman Douglas Park,4,6,.78
85005,Tom's NFL,4,101,.89
85005,The Dinner Detective,4.5,6,.16
85005,The Centurion Lounge,3.5,166,.74
85005,Casino Miami,3.5,48,.43
85007,Doral Central Park,4,85,2.13
85007,Kings,4.5,34,2.13
85007,Planet Air Sports Doral,5,23,2.07
85007,Doral Billiards & Sports Bar,3.5,13,1.23
85027,Miami Trolley,4.5,806,.25
85027,Brickell City Centre,4.5,95,.31
85027,Miami Convention Center,4,56,.01
85027,James L. Knigth Center,4,20,.01
85029,Bayfront Park,4,1311,.15
85029,Ultra Music Festival,4.5,48,.12
85029,James L. Knigth Center,4,20,.33
85029,Bicentennial Park,3.5,16,.35
85031,Perez Art Museum Miami,4.5,1316,.35
85031,Phillip and Patricia Frost Museum of Science,3.5,200,.41
85031,Florida Grand Opera,4.5,71,.31
85031,Trinity Episcopal Cathedral,4.5,36,.05
85046,Perez Art Museum Miami,4.5,1316,.38
85046,Phillip and Patricia Frost Museum of Science,3.5,200,.44
85046,Florida Grand Opera,4.5,71,.35
85046,Trinity Episcopal Cathedral,4.5,36,.09
85147,Pier Park,4,94,.09
